h3,population,Intensity,population_class,colors
88399069edfffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
8839906933fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
8839906921fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883992aa63fffff,594.0,,0 - 1000,"(0.5156862745098039, 0.5745098039215686, 0.6803921568627451, 1.0)"
883992aa0dfffff,232.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883992aa09fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883992aa05fffff,121.0,,0 - 1000,"(0.5156862745098039, 0.5745098039215686, 0.6803921568627451, 1.0)"
883992aa01fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883992a5a7fffff,6.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883992a09dfffff,18.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993d829fffff,3.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993d805fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993d801fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993babdfffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993bab9fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993baa3fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993ba9bfffff,4.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993ba8dfffff,17.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993ba85fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b911fffff,4.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b769fffff,191.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b73dfffff,65.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b73bfffff,722.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b739fffff,219.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b731fffff,152.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b72bfffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b729fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b717fffff,26.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b705fffff,153.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b5ebfffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b5ddfffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b5d9fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b5cbfffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b5c3fffff,2.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b56bfffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b563fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b55bfffff,34.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b553fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b545fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b53dfffff,4.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b53bfffff,2.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b531fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b517fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b513fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b50dfffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b505fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b4d7fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b4d5fffff,3.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b4c3fffff,5.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b49dfffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b48dfffff,2.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b48bfffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b483fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b481fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b467fffff,97.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b437fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b435fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b433fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b42dfffff,455.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b2b1fffff,1100.0,II - III (Weak),1000 - 5000,"(0.9308496732026144, 0.8300192233756247, 0.8026912725874664, 1.0)"
883993b2abfffff,472.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b297fffff,185.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b241fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b1e9fffff,51.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b1c7fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b19dfffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b19bfffff,13.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b197fffff,72.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b193fffff,15.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b13dfffff,16.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b139fffff,258.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b131fffff,528.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b113fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b109fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b101fffff,100.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b0bdfffff,354.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b0b7fffff,57.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b0a9fffff,19.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993b0a7fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a767fffff,137.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a72dfffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a369fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a35dfffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a35bfffff,405.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a359fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a353fffff,161.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a351fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a34dfffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a349fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a345fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a2e1fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a2a7fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a26dfffff,2.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a26bfffff,1983.0,II - III (Weak),1000 - 5000,"(0.9308496732026144, 0.8300192233756247, 0.8026912725874664, 1.0)"
883993a269fffff,991.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a267fffff,4706.0,II - III (Weak),1000 - 5000,"(0.9308496732026144, 0.8300192233756247, 0.8026912725874664, 1.0)"
883993a265fffff,1122.0,II - III (Weak),1000 - 5000,"(0.9308496732026144, 0.8300192233756247, 0.8026912725874664, 1.0)"
883993a263fffff,19102.0,II - III (Weak),10000 - 20000,"(0.8352326028450596, 0.5092425990003844, 0.5418377547097271, 1.0)"
883993a261fffff,6616.0,II - III (Weak),5000 - 10000,"(0.9288273740868896, 0.670718954248366, 0.6310726643598616, 1.0)"
883993a255fffff,71.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a24dfffff,38.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a247fffff,36.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a245fffff,178.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a243fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a23dfffff,219.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a235fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a22dfffff,7247.0,II - III (Weak),5000 - 10000,"(0.9288273740868896, 0.670718954248366, 0.6310726643598616, 1.0)"
883993a22bfffff,16239.0,II - III (Weak),10000 - 20000,"(0.8352326028450596, 0.5092425990003844, 0.5418377547097271, 1.0)"
883993a229fffff,10072.0,II - III (Weak),10000 - 20000,"(0.8352326028450596, 0.5092425990003844, 0.5418377547097271, 1.0)"
883993a227fffff,99.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a225fffff,399.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a223fffff,2158.0,II - III (Weak),1000 - 5000,"(0.9308496732026144, 0.8300192233756247, 0.8026912725874664, 1.0)"
883993a221fffff,5446.0,II - III (Weak),5000 - 10000,"(0.9288273740868896, 0.670718954248366, 0.6310726643598616, 1.0)"
883993a20dfffff,4445.0,II - III (Weak),1000 - 5000,"(0.9308496732026144, 0.8300192233756247, 0.8026912725874664, 1.0)"
883993a20bfffff,1655.0,II - III (Weak),1000 - 5000,"(0.9308496732026144, 0.8300192233756247, 0.8026912725874664, 1.0)"
883993a209fffff,2138.0,II - III (Weak),1000 - 5000,"(0.9308496732026144, 0.8300192233756247, 0.8026912725874664, 1.0)"
883993a207fffff,10357.0,II - III (Weak),10000 - 20000,"(0.8352326028450596, 0.5092425990003844, 0.5418377547097271, 1.0)"
883993a205fffff,13735.0,II - III (Weak),10000 - 20000,"(0.8352326028450596, 0.5092425990003844, 0.5418377547097271, 1.0)"
883993a203fffff,660.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a201fffff,14531.0,II - III (Weak),10000 - 20000,"(0.8352326028450596, 0.5092425990003844, 0.5418377547097271, 1.0)"
883993a151fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a0ebfffff,212.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a0dbfffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a0c7fffff,64.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a0c5fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a09dfffff,279.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a099fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a097fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a095fffff,10.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a091fffff,35.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a08dfffff,60.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a08bfffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a089fffff,11.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a083fffff,59.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a081fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a04bfffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a049fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a043fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a041fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a03dfffff,43.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a03bfffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
883993a035fffff,128.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
8839914f63fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
8839914f5dfffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
8839914f59fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
8839914f55fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
8839914f43fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
8839914ee7fffff,25.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
8839914ee1fffff,24.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
8839914ecdfffff,60.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
8839914ec1fffff,82.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
8839914eadfffff,80.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
8839914ea9fffff,28.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
8839914ea7fffff,14.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
8839914ea1fffff,42.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
8839914e6bfffff,98.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
8839914e5dfffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
8839914e39fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
